DataYear,YearBuilt,Electricity(kBtu),PropertyGFATotal,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,AvgFloorArea,ParkingRatio,NumberofFloors,PropertyGFAParking,BuildingType_Multifamily HR (10+),BuildingType_Multifamily LR (1-4),BuildingType_Multifamily MR (5-9),BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,Outlier_Low outlier
2016,1920,714939.0,57428,33.26,0.58,96,28714.0,0.0,2,0,False,False,False,True,False,False,False,False
2016,1910,5071973.0,59400,35.36,0.6,106,7425.0,0.0,8,0,False,False,False,True,False,False,False,False
2016,1926,4632459.0,52549,584.31,11.12,90,26274.5,0.0,2,0,False,False,False,True,False,False,False,False
2016,1930,4290059.0,98634,59.19,0.6,86,4931.7,0.10182087312691364,20,10043,False,False,False,True,False,False,False,False
2016,1982,45545529.0,994212,2451.58,2.47,34,29241.529411764706,0.14754800786954894,34,146694,False,False,False,True,False,False,False,False
2016,1985,3243900.0,71150,134.38,1.89,31,10164.285714285714,0.0,7,0,False,False,False,True,False,False,False,False
2016,1908,1293561.0,122810,227.18,1.85,108,17544.285714285714,0.0,7,0,False,False,False,True,False,False,False,False
2016,1959,2944680.0,113173,144.79,1.28,57,22634.6,0.3759377236620042,5,42546,False,False,False,True,False,False,False,False
2016,2000,3396109.0,150453,199.95,1.33,16,21493.285714285714,0.23086944095498263,7,34735,False,False,False,True,False,False,False,False
2016,1997,3188457.0,116300,162.39,1.4,19,19383.333333333332,0.24247635425623387,6,28200,False,False,False,True,False,False,False,False
2016,1998,4558937.0,155602,152.76,0.98,18,25933.666666666668,0.23614092363851363,6,36744,False,False,False,True,False,False,False,False
2016,1911,551867.0,56072,146.34,2.61,105,18690.666666666668,0.0,3,0,False,False,False,True,False,False,False,False
2016,1999,2423730.0,122942,171.64,1.4,17,30735.5,0.36513965935156417,4,44891,False,False,False,True,False,False,False,False
2016,1962,1978230.0,54984,87.98,1.6,54,27492.0,0.0,2,0,False,False,False,True,False,False,False,False
